region_country,category,parameter,mode,powertrain,year,unit,value,aggregate_group
Chile,Historical,EV charging points,EVSE,Publicly available fast,2011,charging points,1.0,Other
Norway,Historical,EV charging points,EVSE,Publicly available fast,2011,charging points,18.0,Other
Portugal,Historical,EV charging points,EVSE,Publicly available fast,2011,charging points,6.0,Other
Canada,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,2.0,Other
Chile,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,4.0,Other
France,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,9.0,Other
Germany,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,18.0,Other
Italy,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,1.0,Other
Netherlands,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,21.0,Other
Norway,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,58.0,Other
Portugal,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,7.0,Other
Switzerland,Historical,EV charging points,EVSE,Publicly available fast,2012,charging points,4.0,Other
Belgium,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,47.0,Other
Canada,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,7.0,Other
Chile,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,5.0,Other
Denmark,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,56.0,Other
Finland,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,17.0,Other
France,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,100.0,Other
Germany,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,47.0,Other
Italy,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,6.0,Other
Netherlands,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,21.0,Other
Norway,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,96.0,Other
Portugal,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,17.0,Other
Spain,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,91.0,Other
Switzerland,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,27.0,Other
United Kingdom,Historical,EV charging points,EVSE,Publicly available fast,2013,charging points,80.0,Other
Belgium,Historical,EV charging points,EVSE,Publicly available fast,2014,charging points,49.0,Other
Canada,Historical,EV charging points,EVSE,Publicly available fast,2014,charging points,55.0,Other
Chile,Historical,EV charging points,EVSE,Publicly available fast,2014,charging points,5.0,Other
Denmark,Historical,EV charging points,EVSE,Publicly available fast,2014,charging points,110.0,Other
Finland,Historical,EV charging points,EVSE,Publicly available fast,2014,charging points,26.0,Other
