country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points,ev_stock_lag1,ev_stock_share_lag1,charging_points_lag1
Australia,2012,0.029,300.0,0.0024,480.0,49.0,0.00039,480.0
Australia,2013,0.033,590.0,0.0046,480.0,300.0,0.0024,480.0
Australia,2014,0.15,1880.0,0.014,480.0,590.0,0.0046,480.0
Australia,2015,0.19,3600.0,0.027,480.0,1880.0,0.014,480.0
Australia,2016,0.15,5000.0,0.037,480.0,3600.0,0.027,480.0
Australia,2017,0.25,7300.0,0.052,480.0,5000.0,0.037,480.0
Australia,2018,0.41,10900.0,0.077,731.0,7300.0,0.052,480.0
Australia,2019,1.2,20600.0,0.14,1960.0,10900.0,0.077,731.0
Australia,2020,1.1,27000.0,0.18,2480.0,20600.0,0.14,1960.0
Australia,2021,2.8,48044.0,0.32,2770.0,27000.0,0.18,2480.0
Australia,2022,5.0,88100.0,0.59,3300.0,48044.0,0.32,2770.0
Australia,2023,12.0,181065.0,1.2,3010.0,88100.0,0.59,3300.0
Australia,2024,13.0,302089.0,1.9,6700.0,181065.0,1.2,3010.0
Austria,2014,0.57,4183.0,0.089,3722.0,2510.0,0.053,3722.0
Austria,2015,0.9,6506.0,0.14,3722.0,4183.0,0.089,3722.0
Austria,2016,1.5,11413.0,0.24,3722.0,6506.0,0.14,3722.0
Austria,2017,2.0,18919.0,0.38,3722.0,11413.0,0.24,3722.0
Austria,2018,2.6,26724.0,0.53,3722.0,18919.0,0.38,3722.0
Austria,2019,3.5,38041.0,0.75,3722.0,26724.0,0.53,3722.0
Austria,2020,9.5,60045.0,1.2,8600.0,38041.0,0.75,3722.0
Austria,2021,20.0,106055.0,2.1,10400.0,60045.0,1.2,8600.0
Austria,2022,22.0,152062.0,3.0,13000.0,106055.0,2.1,10400.0
Austria,2023,27.0,218062.0,4.1,18600.0,152062.0,3.0,13000.0
Austria,2024,24.0,275062.0,5.3,27300.0,218062.0,4.1,18600.0
Belgium,2011,0.052,347.0,0.0065,377.0,71.0,0.0013,377.0
Belgium,2012,0.19,1181.0,0.022,377.0,347.0,0.0065,377.0
Belgium,2013,0.11,1791.0,0.033,377.0,1181.0,0.022,377.0
Belgium,2014,0.41,3702.0,0.067,615.0,1791.0,0.033,377.0
Belgium,2015,0.76,7108.0,0.13,1400.0,3702.0,0.067,615.0
Belgium,2016,1.7,16220.0,0.28,1640.0,7108.0,0.13,1400.0
Belgium,2017,2.6,30531.0,0.53,1800.0,16220.0,0.28,1640.0
Belgium,2018,2.4,44044.0,0.75,3020.0,30531.0,0.53,1800.0
Belgium,2019,3.2,60041.0,1.0,6590.0,44044.0,0.75,3020.0
Belgium,2020,11.0,105064.0,1.8,8740.0,60041.0,1.0,6590.0
Belgium,2021,18.0,172085.0,2.9,12720.0,105064.0,1.8,8740.0
Belgium,2022,26.0,270080.0,4.5,24200.0,172085.0,2.9,12720.0
Belgium,2023,41.0,470099.0,7.8,44000.0,270080.0,4.5,24200.0
Belgium,2024,43.0,670100.0,11.0,74600.0,470099.0,7.8,44000.0
Brazil,2011,0.00028,61.0,0.0002,30.9,61.0,0.0002,30.9
Brazil,2012,0.0013,61.0,0.0002,30.9,61.0,0.0002,30.9
Brazil,2013,0.0024,61.0,0.0002,30.9,61.0,0.0002,30.9
Brazil,2014,0.0022,61.0,0.0002,30.9,61.0,0.0002,30.9
Brazil,2015,0.0042,148.0,0.00048,30.9,61.0,0.0002,30.9
Brazil,2016,0.011,325.0,0.001,30.9,148.0,0.00048,30.9
Brazil,2017,0.023,680.0,0.0022,30.9,325.0,0.001,30.9
Brazil,2018,0.02,1050.0,0.0034,30.9,680.0,0.0022,30.9
Brazil,2019,0.084,2990.0,0.0094,225.0,1050.0,0.0034,30.9
Brazil,2020,0.16,5400.0,0.017,405.0,2990.0,0.0094,225.0
Brazil,2021,0.92,19401.0,0.063,930.0,5400.0,0.017,405.0
Brazil,2022,1.2,39003.0,0.12,3150.0,19401.0,0.063,930.0
Brazil,2023,3.0,92003.0,0.3,4750.0,39003.0,0.12,3150.0
Brazil,2024,6.4,214003.0,0.7,12600.0,92003.0,0.3,4750.0
Canada,2012,0.14,2435.0,0.013,722.0,555.0,0.0029,722.0
