country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Norway,2024,92.0,960230.0,32.0,31000.0
Norway,2023,90.0,900290.0,30.0,28000.0
Norway,2022,89.0,790260.0,26.0,25000.0
Norway,2021,86.0,630230.0,22.0,19700.0
Norway,2020,75.0,490200.0,17.0,17300.0
Iceland,2023,71.0,44027.0,18.0,1810.0
Iceland,2021,70.0,21531.0,9.3,680.0
Iceland,2022,69.0,33031.0,14.0,1030.0
Sweden,2023,60.0,560048.0,11.0,37800.0
Sweden,2024,58.0,670050.0,13.0,44600.0
Denmark,2024,56.0,460230.0,17.0,33400.0
Norway,2019,56.0,330180.0,12.0,14000.0
Finland,2023,54.0,224002.0,7.0,12200.0
Sweden,2022,54.0,440065.0,8.7,17600.0
Iceland,2020,52.0,15030.0,6.5,500.0
Finland,2024,50.0,260001.0,8.3,16400.0
Norway,2018,49.0,247120.0,8.9,10500.0
China,2024,48.0,34000820.0,11.0,3500000.0
Netherlands,2024,48.0,980710.0,11.0,188000.0
Denmark,2023,46.0,310230.0,11.0,17000.0
Netherlands,2023,44.0,730700.0,8.2,145000.0
Belgium,2024,43.0,670100.0,11.0,74600.0
Sweden,2021,43.0,300063.0,6.0,13700.0
Iceland,2024,42.0,53000.0,18.0,3040.0
Belgium,2023,41.0,470099.0,7.8,44000.0
Norway,2017,39.0,180070.0,6.4,9220.0
China,2023,38.0,21800760.0,7.5,2700000.0
Denmark,2022,38.0,210230.0,7.8,11400.0
Finland,2022,37.0,145002.0,4.7,9400.0
Luxembourg,2024,36.0,,,
Denmark,2021,35.0,145230.0,5.2,890.0
Netherlands,2022,35.0,530640.0,6.0,124500.0
Portugal,2024,33.0,240003.0,4.2,13100.0
Portugal,2023,32.0,175003.0,3.0,9400.0
Sweden,2020,32.0,176047.0,3.6,11200.0
Luxembourg,2023,32.0,,,
Germany,2022,31.0,1862200.0,3.8,86000.0
Finland,2021,30.0,100001.0,3.2,6590.0
Switzerland,2023,30.0,276240.0,5.8,15800.0
China,2022,29.0,14100240.0,5.0,1760000.0
Netherlands,2021,29.0,390540.0,4.5,83800.0
Norway,2016,29.0,114040.0,4.2,7500.0
Switzerland,2024,28.0,340250.0,7.3,19200.0
United Kingdom,2024,28.0,2170260.0,6.4,88000.0
Austria,2023,27.0,218062.0,4.1,18600.0
New Zealand,2023,27.0,92020.0,2.6,1140.0
Ireland,2023,27.0,,,
Belgium,2022,26.0,270080.0,4.5,24200.0
Germany,2021,26.0,1251500.0,2.6,59500.0
Iceland,2019,26.0,11031.0,4.7,260.0
France,2023,25.0,1570960.0,4.0,119000.0
Netherlands,2020,25.0,290380.0,3.3,65300.0
Switzerland,2022,25.0,201210.0,4.2,12200.0
Ireland,2024,25.0,,,
Austria,2024,24.0,275062.0,5.3,27300.0
France,2024,24.0,1751600.0,4.4,152000.0
Germany,2023,24.0,2502100.0,5.2,110000.0
United Kingdom,2023,24.0,1580260.0,4.7,72000.0
Luxembourg,2022,24.0,,,
United Kingdom,2022,23.0,950190.0,2.8,51800.0
Austria,2022,22.0,152062.0,3.0,13000.0
Norway,2015,22.0,69013.0,2.6,5530.0
Portugal,2022,22.0,111003.0,1.9,5600.0
Ireland,2022,22.0,,,
